0,1,parrita710,manuedu
0,1,lusco,manuedu
0,1,piton,manuedu
0,1,Ruador,manuedu
0,1,manuelpepito,manuedu
0,1,ReySombra,manuedu
0,1,Tachy,manuedu
0,1,Silkworm,manuedu
1,2,edudu1,parrita710
2,2,edudu1,lusco
0,1,Perrico,manuedu
9,3,parrita710,edudu1
0,1,Kyramar,manuedu
11,2,ViejaYeguaGris,Perrico
1,2,averageUser,parrita710
11,2,lusco,Perrico
5,2,javimas03,manuelpepito
0,1,javimas03,manuedu
13,2,lusco,Kyramar
19,3,Kyramar,lusco
0,1,talayita,manuedu
0,1,porto,manuedu
21,2,sinson,talayita
9,3,fpove,edudu1
0,1,soundnessia,manuedu
0,1,Thedonpa,manuedu
0,1,DarkAnxo,manuedu
0,1,Emaname,manuedu
0,1,trasier,manuedu
28,2,letsgo,Emaname
0,1,Hanxxs,manuedu
20,4,Pezzonovante,Kyramar
20,4,marola,Kyramar
14,3,Hanxxs,ViejaYeguaGris
0,1,miguelpedregosa,manuedu
22,2,refilmed,porto
0,1,Arvydas,manuedu
0,1,Spartan67,manuedu
28,2,condemor,Emaname
39,3,parrita710,condemor
2,2,brezzo,lusco
40,4,condemor,parrita710
0,1,dest2010,manuedu
9,3,zierz,edudu1
11,2,brezzo,Perrico
9,3,ElSev,edudu1
34,4,ElSev,Hanxxs
38,2,ElSev,Spartan67
37,2,brezzo,Arvydas
9,3,entroysalgo,edudu1
0,1,gozne,manuedu
12,4,pandamanso,parrita710
0,1,DarkFlopo,manuedu
35,2,tulpa,miguelpedregosa
37,2,musg0,Arvydas
12,4,x_treme,parrita710
8,2,x_treme,Silkworm
7,2,jmba,Tachy
0,1,--248705--,manuedu
28,2,NiRojosNiFachas,Emaname
59,2,NiRojosNiFachas,--248705--
1,2,HipnoSapo,parrita710
7,2,HipnoSapo,Tachy
9,3,HipnoSapo,edudu1
7,2,Asiyer,Tachy
0,1,narakas,manuedu
59,2,Silkworm,--248705--
