0,1,kampanita,d7tr14fg
0,1,JavierB,d7tr14fg
0,1,alfanore85,d7tr14fg
0,1,kukudrulo,d7tr14fg
0,1,Shotokax,d7tr14fg
0,1,Sure,d7tr14fg
1,2,expertomilitar,kampanita
7,3,kampanita,expertomilitar
0,1,El_Mentecato,d7tr14fg
0,1,Aiden_85,d7tr14fg
7,3,Luyso,expertomilitar
11,4,expertomilitar,Luyso
8,4,JesusMaeztu,kampanita
0,1,el_Tupac,d7tr14fg
11,4,jmfer,Luyso
0,1,juancarloschou,d7tr14fg
0,1,mrsombra,d7tr14fg
7,3,darkdead1,expertomilitar
18,4,expertomilitar,darkdead1
0,1,Supercinexin,d7tr14fg
19,5,darkdead1,expertomilitar
0,1,plavol,d7tr14fg
21,6,expertomilitar,darkdead1
0,1,Isangi,d7tr14fg
24,2,Isangi,Isangi
17,2,Varlak_,mrsombra
9,2,itsmyopinion,El_Mentecato
20,2,Varlak_,Supercinexin
9,2,78santo,El_Mentecato
20,2,Stamish,Supercinexin
22,2,Stamish,plavol
7,3,Tgrifell,expertomilitar
25,3,Stamish,Isangi
32,4,expertomilitar,Tgrifell
0,1,casty,d7tr14fg
27,3,juancarloschou,itsmyopinion
0,1,malespuces,d7tr14fg
0,1,Alcarrialibre,d7tr14fg
0,1,--479315--,d7tr14fg
34,5,Tgrifell,expertomilitar
1,2,rantamplanzzz,kampanita
1,2,polvos.magicos,kampanita
11,4,RandomAccess,Luyso
33,4,juancarloschou,Stamish
23,7,RandomAccess,expertomilitar
30,3,juancarloschou,Stamish
7,3,EsKaRFeiS,expertomilitar
45,8,expertomilitar,RandomAccess
7,3,BiRDo,expertomilitar
49,4,expertomilitar,BiRDo
50,5,BiRDo,expertomilitar
51,6,expertomilitar,BiRDo
48,9,RandomAccess,expertomilitar
0,1,robustiano,d7tr14fg
52,7,BiRDo,expertomilitar
0,1,beatrizgimeno,d7tr14fg
53,10,expertomilitar,RandomAccess
0,1,amusgada,d7tr14fg
26,3,mrsombra,Varlak_
15,5,Monsieur-J,jmfer
0,1,ateopracticante,d7tr14fg
19,5,Matxikoton,expertomilitar
29,3,Matxikoton,78santo
36,4,itsmyopinion,juancarloschou
38,2,Matxikoton,Alcarrialibre
1,2,churrumeco,kampanita
0,1,quetropa...,d7tr14fg
62,6,expertomilitar,Matxikoton
58,2,Tensk,amusgada
0,1,amusgada,d7tr14fg
30,3,Supercinexin,Stamish
0,1,miguelicoCG,d7tr14fg
64,5,juancarloschou,itsmyopinion
57,11,RandomAccess,expertomilitar
74,12,expertomilitar,RandomAccess
75,13,RandomAccess,expertomilitar
76,14,expertomilitar,RandomAccess
77,15,RandomAccess,expertomilitar
78,16,expertomilitar,RandomAccess
79,17,RandomAccess,expertomilitar
80,18,expertomilitar,RandomAccess
81,19,RandomAccess,expertomilitar
82,20,expertomilitar,RandomAccess
83,21,RandomAccess,expertomilitar
84,22,expertomilitar,RandomAccess
85,23,RandomAccess,expertomilitar
44,5,Stamish,juancarloschou
